company_id,stage_path
0000129194,A
0000129211,A → D → A
0000129214,A → C1
0000129217,B → A → B → E
0000129223,B
0000129249,B → C2 → B → A → C2 → B → C1 → B → C1 → B
0000129250,C1
0000129278,C1 → D → B
0000129302,A
0000129307,A
0000129310,D
0000129312,B → C1
0000129320,B → D → C1
0000129322,A → C2
0000129325,B → A
0000129334,A
0000129362,A
0000129368,B → D
0000129400,C1 → A
0000129404,E
0000129414,C1 → E → C1 → C2 → B
0000129422,A → C1 → A → C1 → B → C2 → B → A
0000129435,B → C1 → C2
0000129457,C1 → A
0000129461,B
0000129475,B
0000129483,C1 → B
0000129493,C1 → B
0000129498,C1
0000129517,C1 → A → C1
0000129532,C1 → B
0000129533,A
0000129542,A
0000129543,B → C1 → B → C1 → B → A → E
0000129551,C1
0000129556,C1
0000129559,B → C1 → B
0000129576,A → C1 → B
0000129587,B → A
0000129588,C1
0000129597,A
0000129607,B
0000129610,C1 → B
0000129615,C2
0000129623,C1
0000129627,A → D → A
0000129628,C1 → C2
0000129636,E → A → C1 → B
0000129653,A → E → B
0000129660,B
0000129709,C1 → A
0000129722,C1
0000129723,C1
0000129727,C1
0000129738,D
0000129746,C1
0000129750,D
0000129751,C1 → B → E → C1
0000129783,A → D → C1
0000129788,C1 → B
0000129793,C1
0000129808,C1
0000129824,C1
0000129830,D → C1 → B
0000129846,D → A → B → A
0000129848,C1
0000129857,A
0000129874,C1
0000129877,A → B → A
0000129898,D
0000129925,A → C1 → A
0000129938,A → B → A
0000129941,A
0000129965,C1 → D → C2 → A → C1 → D → B
0000129992,C1 → B
0000130032,B
0000130034,C1 → B → A → B → C1
0000130047,B → C1
0000130051,B
0000130058,C1 → B
0000130068,B
0000130071,C1
0000130073,A
0000130092,B
0000130099,E → C1
0000130110,C1 → B → C1
0000130118,B → C2 → C1
0000130146,E
0000130159,C1 → B → C2 → A → B
0000130160,C1
0000130164,C1
0000130210,A
0000130213,C1 → B → A
0000130237,B
0000130246,A → C1
0000130283,A → C1 → E
0000130304,A
0000130314,A → C1
0000130321,C1 → B → C2
0000130355,E
0000130382,A → C1 → B → C1
0000130397,C1
0000130404,C1 → A
0000130411,A → C1
0000130450,B
0000130459,E
0000130474,C1 → D → C2
0000130479,C1
0000130494,B → A
0000130502,C1 → E → C2 → B
0000130513,B
0000130533,A → E
0000130535,B
0000130554,B
0000130562,B
0000130567,B → C1
0000130590,C1 → B
0000130612,C1 → A → C1
0000130634,C1
0000130636,C1
0000130640,A
0000130657,B → D → B
0000130673,A → E
0000130680,C1
0000130692,A
0000130706,A → B
0000130716,C1
0000130723,B
0000130727,B → C1 → B → C2 → A → B
0000130741,C1 → B → C1 → B
0000130748,C2 → A
0000130758,A
0000130765,A → B → C1
0000130773,B
0000130784,A → B
0000130796,B → C2 → A
0000130819,A
0000130834,B
0000130838,B → A → C1
0000130851,B → E → A
0000130867,C1 → B
0000130877,C1
0000130916,C1
0000130920,A → C2 → C1
0000130930,C1 → B → A → B → A → C2 → C1 → B → A → C1 → A → C1 → A
0000130933,A → C1
0000130954,C1 → B
0000130980,B
0000131051,D → A
0000131053,C2 → A → E
0000131061,E
0000131066,A
0000131068,B
0000131079,B
0000131100,A → C1 → A
0000131102,A → B
0000131103,A → C1 → A → C1 → B → A → B
0000131109,C1 → A → C2 → C1 → B
0000131114,E → B → E
0000131118,B → C1
0000131129,B → C1
0000131135,A
0000131139,C1
0000131175,C1
0000131184,A
0000131273,B → C1 → B → C1
0000131400,A → C1
0000131627,C1
0000131656,A
0000131868,D
0000131879,B → C1
0000132066,C1
0000132095,A
0000132215,A
0000132279,C1 → A
0000132554,A
0000132643,B → E → C1
0000132686,C1
0000132754,C1
0000132765,C2 → C1
0000132900,C1
0000133276,A → C1
0000133283,C2 → D → A
0000133363,B
0000133493,B
0000133575,D → B → C1
0000133648,B
0000133783,A
0000133913,A → E → C1
0000133916,E → B → E → D → E
0000134004,A
0000134097,C1
0000134107,B → A
0000134149,B → D → B → C2 → C1 → B → A → C1
0000134257,A → B → A → C1 → A
0000134298,C1 → B
0000134306,A
0000134425,C1
0000134541,C1
0000134584,C2 → A → D → C1
0000134639,A
0000134697,C1
0000134715,C1 → B
0000134766,B → E → A
0000134836,C1
0000134855,C1 → B → C1
0000134862,C1 → A
0000134946,C1
0000134948,A → C1 → D → A
0000134954,C1
0000135067,C2 → A → C1
0000135086,C1
0000135162,C1 → D
0000135181,E → C1 → A
0000135315,B
0000135440,C1
0000135577,A
0000135917,E
0000135981,C1
0000136093,B
0000136098,A → C2
0000136113,B → E → B
0000136151,E → A
0000136185,C1 → A → B
0000136271,B → A
0000136275,A
0000136294,A → B → A
0000136342,A
0000136345,C2 → A → B → A → B
0000136418,B
0000136486,B
0000136540,A → B
0000136547,A
0000136623,C1 → D → B
0000136638,E
0000136676,B
0000136697,C1
0000136776,A → B → A → C1 → B → C1 → D → B
0000136924,B → A → B → C1 → B
0000136932,B
0000137090,B
0000137093,A
0000137104,B
0000137165,C1 → A → C1
0000137180,C1
0000137225,C1 → A
0000137274,A → E
0000137324,B
0000137466,B → C1 → B
0000137467,B
0000137544,C2 → C1
0000137632,C1 → A
0000137646,C1
0000137647,A
0000137732,E → A → C1 → D
0000137935,C1
0000137992,C1 → B
0000137994,B
0000138031,B → A
0000138036,A
0000138063,B
0000138136,A → B → C1 → A → D
0000138316,E
0000138323,A
0000138354,C1
0000138585,D → C1
0000138609,C1 → B
0000138643,A
0000138666,C1
0000138692,C2
0000138764,B → C1
0000138862,B → A → B → A → C1 → A → C2 → C1 → B → C1 → B → C1
0000138937,B
0000138975,C1 → B → C1 → B
0000139014,C1
0000139023,C2 → C1
0000139031,C1
0000139134,A
0000139176,C1
0000139297,A → E
0000139369,A → C1 → B → C1
0000139438,A
0000139466,C1 → B → C1
0000139487,C1
0000139530,C1
0000139537,A
0000139555,B
0000139740,A → B
0000139745,A → C1 → B
0000139841,C1 → A
0000139939,B → A
0000139957,C2 → C1
0000140088,B → C1 → A → B
0000140188,B
0000140269,C1
0000140444,B → C1 → A
0000140470,C1 → B
0000140555,C1 → E → C1
0000140653,A → C2
0000140660,B
0000140794,B → C1
0000140868,A → B → C1
0000140875,C1
0000140925,B → C1 → D
0000141003,C1
0000141041,A
0000141290,B → C1 → A → B
0000141299,C1 → A
0000141300,C1 → A
0000141339,A → B
0000141353,B
0000141391,C1
0000141406,B → C1
0000141541,A
0000141552,C1
0000141559,B → A
0000141711,C1 → B → C1 → D
0000141754,A
0000141837,B
0000141965,C1 → B → A → B → C1 → B
0000141980,B
0000142100,A → B
0000142131,B → A → C2
0000142139,E
0000142173,A
0000142210,A
0000142324,B
0000142333,C1 → D
0000142352,C1
0000142443,C1 → B
0000142542,C1
0000142550,D → E
0000142581,C1
0000142666,B
0000142849,B → A → B
0000143018,B
0000143046,C1 → B → D → A
0000143071,C1 → B → A
0000143156,A → B → A
0000143185,B → D → A
0000143334,C1
0000143476,D
0000143558,A → B → C1 → B → A
0000143632,A
0000143647,C1
0000143703,C2 → D
0000143837,A
0000143998,C1 → A
0000144024,C2
0000144081,E → A → B → A
0000144150,C1 → B
0000144167,B → C1
0000144182,A → B
0000144391,A
0000144480,B
0000144731,C1
0000144925,C1 → A → B
0000145010,A → B
0000145022,E → A
0000145026,A
0000145056,C1 → B → A → C1 → A
0000145099,B → A → C1
0000145148,B → C1 → D
0000145164,C1 → B → C1
0000145190,C1
0000145258,B
0000145289,A → C1
0000145292,A
0000145312,C1 → E → B → A
0000145391,B → C1
0000145623,D → B → C1
0000145645,C1
0000145688,A
0000145702,D
0000145717,B → A
0000145724,C1
0000145872,C1 → E → D
0000145907,D → A → D → C1
0000145918,C1
0000145920,B
0000145932,C1
0000146041,C2 → C1
0000146143,A
0000146218,C2 → C1 → B
0000146222,B → A → C1 → B → C1
0000146383,B → D
0000146388,C1 → A → C1
0000146416,A → B
0000146550,A
0000146568,C1 → C2 → D → C2
0000146614,B → C1 → B
0000146691,C2 → A → D
0000146696,B → A → B
0000146749,C1 → A → C1 → B → A → B
0000146867,B
0000147050,C1 → B → C1 → A
0000147065,A
0000147250,A
0000147373,C1
0000147392,A → B
0000147429,B → C1
0000147483,C1 → D → A → C1
0000147498,C2 → A
0000147620,C1
0000147679,D
0000147826,C1 → B
0000147837,B
0000147854,D → C1 → E → C1
0000147869,B
0000147946,C1 → A → B → C1 → B → C1 → B
0000148006,B → D
0000148025,A
0000148036,C1 → A
0000148319,C1
0000148350,A → C1 → B
0000148425,C1 → A → B
0000148459,D
0000148536,C1 → C2
0000148550,B → C1
0000148672,A → D → C1 → A → B
0000148795,B
0000148994,B → C1 → B → C1 → B → A → B → C1
0000149194,B → A → E
0000149251,D → B
0000149362,C1 → A
0000149366,C1 → B → C1 → B → C1
0000149370,B
0000149570,C1
0000149616,D → A → C1 → A → D
0000149674,A
0000149678,C1
0000149687,A → E
0000149705,D → C1
0000149718,D → B → E → D
0000149800,B
0000149828,E
0000149833,B → C1
0000149860,C1 → B
0000149901,A
0000149918,C1 → A
0000149940,C1 → A
0000149968,C1 → A → E
0000149996,A
0000150021,C1 → B → A
0000150031,A → B
0000150226,C1 → A → C1
0000150277,C1
0000150282,A
0000150297,C1
0000150336,B → C1 → B → A → B
0000150347,C1 → D
0000150382,C1 → B → E
0000150407,B → C1 → A
0000150441,A
0000150489,B
0000150594,C1
0000150706,E → A
0000150819,C1
0000150844,B
0000150846,C1
0000150859,C2 → D → E
0000150928,C1 → B
0000150974,A
0000150993,A
0000151017,C1 → B
0000151021,B
0000151064,D → B
0000151065,B
0000151201,A
0000151290,A → C2 → C1 → A
0000151305,B
0000151324,C1
0000151445,A
0000151457,E
0000151745,C1
0000151775,C1
0000151840,B
0000151851,A
0000151987,A → B
0000152167,A
0000152337,B → C1
0000152357,A → B
0000152367,A
0000152453,B → C1
0000152493,C1 → A
0000152524,B
0000152746,C1
0000152858,A → B
0000152879,B → A → B → C1
0000152951,C1 → B
0000152997,B → C1 → B → C2 → C1
0000153145,E
0000153198,C1 → A
0000153219,C1 → E → B → C1
0000153228,C1
0000153287,C1
0000153369,A → C1 → A
0000153429,B
0000153483,C1
0000153574,C1
0000153617,B
0000153645,D → C1 → B
0000153682,B → A → B → E
0000153831,A
0000153977,C1 → B
0000154014,E → C1 → C2 → C1 → B → A → C1
0000154024,C1
0000154069,C1
0000154247,D → C1
0000154269,E → B
0000154296,A → B
0000154494,B → C1 → A → B
0000154502,D → E
0000154504,C1 → A
0000154510,C1
0000154734,C1
0000154961,A
0000155129,B
0000155165,C1
0000155167,B → C1
0000155231,A
0000155432,B
0000155463,B
0000155465,C1 → A → C1
0000155608,E
0000155759,B
0000155781,C1
0000155859,A
0000155903,C1 → A
0000155954,C1 → A
0000156048,E → C1 → A
0000156190,B → C1
0000156226,B
0000156227,A
0000156347,A
0000156422,B → C1
0000156605,C2
0000156689,C1
0000156712,A → D → B → C1 → B
0000156725,A
0000156758,C1
0000156801,B → A → C1 → A
0000156831,A
0000156839,A → B → A → C1 → A
0000156939,B → A → C1 → A
0000157054,A
0000157081,A
0000157131,A
0000157241,C1
0000157579,A
0000157636,C1 → E
0000157785,B
0000157894,C1
0000157907,D
0000157938,C1
0000158325,A → E → C1
0000158424,C2
0000158446,B → E
0000158526,B → A → B
0000158646,B
0000158729,C1 → A → C1 → B → C2 → A → C1 → E → C1 → C2
0000158746,C1 → D → E → B
0000158780,C1 → E → C1 → B
0000158924,A
0000159057,C1
0000159181,C2 → A
0000159375,C1
0000159418,C1 → C2
0000159511,A
0000159573,A → C1
0000159621,D → A
0000159627,C1 → D
0000159740,E
0000159753,C1
0000159779,C1
0000159801,A
0000159817,A → C1
0000159837,C1
0000159949,A
0000160103,B → A
0000160131,A
0000160299,C1 → B → A
0000160306,C1
0000160363,A → C1
0000160394,C1 → B → C1 → B → A → C1 → A → C1 → A
0000160455,B → C1 → B
0000160528,C1
0000160695,E → A → C2 → C1 → B
0000160707,A
0000160711,C1 → B → C1 → E → C1 → A
0000160806,C1 → C2 → A
0000160957,C1
0000160990,B → C1 → C2 → C1 → B
0000161059,B → C1 → A → C1
0000161060,A → B → A → B → A → B → C1 → A → C1
0000161103,B
0000161122,B → C1 → A
0000161216,C1
0000161258,C1 → A → C1
0000161263,B
0000161266,A → C1 → B → E → C1
0000161523,E
0000161654,E → C1
0000161982,A → C1
0000162072,A → C2 → B → C1
0000162098,C1
0000162100,B → C1
0000162302,A
0000162321,A → C1
0000162427,A → D → C1
0000162498,B
0000162528,B → A → B → D → A → D → C1 → A
0000162615,C1 → D → C1 → D → C1 → C2 → B → A → B → C1 → A → C1 → A → D → C2
0000162648,C1
0000162747,B
0000162964,A → C1
0000162971,B
0000163028,C1
0000163210,C1 → B → A
0000163233,A → B
0000163375,A
0000163382,A
0000163435,C1 → B
0000163517,B → A → C1 → A
0000163686,C1 → A
0000163711,A
0000163758,C2 → C1
0000163821,A
0000164100,D → C1
0000164162,B → C1 → B → A
0000164306,B
0000164321,A → B → A
0000164326,C1
0000164350,B → E
0000164553,A → C1
0000164628,B → C1 → A → B → C1 → A → C1 → D
0000164646,C1
0000164740,A → C1 → B → C2 → C1 → A → B
